f=767.840000, dc=829.410000, amp=0.290000, phase=1.030000
f=768.000000, dc=829.360000, amp=0.280000, phase=1.090000
f=768.160000, dc=829.500000, amp=0.280000, phase=1.030000
f=768.320000, dc=829.520000, amp=0.290000, phase=1.170000
f=768.650000, dc=829.460000, amp=0.290000, phase=1.100000
f=768.810000, dc=829.490000, amp=0.290000, phase=1.090000
f=768.970000, dc=829.410000, amp=0.290000, phase=1.090000
f=769.130000, dc=829.380000, amp=0.270000, phase=1.060000
f=769.460000, dc=829.400000, amp=0.300000, phase=1.070000
f=769.620000, dc=829.430000, amp=0.270000, phase=1.040000
f=769.780000, dc=829.290000, amp=0.290000, phase=1.000000
f=770.000000, dc=829.290000, amp=0.300000, phase=1.100000
f=770.160000, dc=829.440000, amp=0.290000, phase=1.090000
f=770.320000, dc=829.290000, amp=0.280000, phase=1.000000
f=770.640000, dc=829.430000, amp=0.270000, phase=1.080000
f=770.800000, dc=829.450000, amp=0.300000, phase=1.120000
f=770.960000, dc=829.420000, amp=0.290000, phase=0.980000
f=771.120000, dc=829.260000, amp=0.300000, phase=1.080000
f=771.450000, dc=829.340000, amp=0.280000, phase=1.100000
f=771.610000, dc=829.220000, amp=0.300000, phase=1.150000
f=771.770000, dc=829.310000, amp=0.290000, phase=1.150000
f=771.930000, dc=829.360000, amp=0.310000, phase=1.160000
f=772.250000, dc=829.240000, amp=0.350000, phase=1.130000
f=772.410000, dc=829.230000, amp=0.320000, phase=1.150000
f=772.580000, dc=829.330000, amp=0.300000, phase=1.030000
f=772.740000, dc=829.350000, amp=0.300000, phase=1.010000
f=773.060000, dc=829.310000, amp=0.350000, phase=1.200000
f=773.220000, dc=829.390000, amp=0.320000, phase=1.000000
f=773.380000, dc=829.340000, amp=0.300000, phase=1.080000
f=773.550000, dc=829.440000, amp=0.310000, phase=1.120000
f=773.870000, dc=829.250000, amp=0.270000, phase=1.140000
f=774.030000, dc=829.230000, amp=0.330000, phase=0.980000
f=774.190000, dc=829.270000, amp=0.310000, phase=1.020000
f=774.360000, dc=829.230000, amp=0.290000, phase=1.190000
f=774.680000, dc=829.270000, amp=0.330000, phase=1.150000
f=774.840000, dc=829.300000, amp=0.360000, phase=1.160000
f=775.010000, dc=829.330000, amp=0.300000, phase=1.130000
